lon,lat,transmission_efficiency_weighted,temp_mean,rh_mean,vegetation_index,ruggedness,hfp,ndvi_mean,veg_height_avg
-161,69,-0.8836842216852044,262.94312,78.37,-2.2098579877293116,5.224,1.19577,-0.046117,0.0
-161,70,-0.870874031242918,263.33948,80.36,-2.223330196061063,0.53921,1.87585,-0.049846,0.0
-160,21,-0.77220620423648,297.18332,76.2,0.3744135444626644,0.80819,15.0973,0.634787,2.29
-160,22,-0.7457034063944661,296.55435,76.66,0.7310084410961238,3.87625,8.04848,0.726429,2.76
-160,54,-0.8370758405106274,278.70557,,0.3491643209113855,0.49677,0.0,0.6622,0.0
-160,55,-0.8232425626437486,277.72205,86.39,-0.6138045472091344,7.82232,0.25702,0.374476,1.41
-160,56,-0.821420746305374,275.24548,86.33,-0.7251845222504422,8.48443,0.0899,0.295875,4.59
-160,58,-0.8332036957569784,274.95865,79.28,-0.5979076825416896,2.28835,0.46187,0.395401,0.31
-160,59,-0.7890895675891383,272.22684,80.98,-1.532743932889928,34.42524,0.04789,0.064387,5.12
-160,60,-0.7941694488562959,270.44,81.46,-1.0046883761253473,30.31083,0.23985,-0.025006,20.8
-160,61,-0.7919139551748615,271.8299,77.72,-1.3955535484247974,8.81435,0.92141,0.081629,6.5
-160,62,-0.7952113475719105,271.78448,76.33,-1.3695581229251659,4.89073,1.8358,0.042104,9.61
-160,63,-0.7942585884045188,270.63522,76.93,-0.04317799566794911,12.78491,1.86401,0.062814,32.67
-160,64,-0.7938201975073093,268.48834,78.51,-1.4598883889396115,26.28652,0.54286,-0.003029,10.95
-160,65,-0.8045964227360243,267.93607,77.0,-0.8783907187643066,12.83158,0.0,-0.001465,21.56
-160,66,-0.8175040022215183,267.6915,74.86,-0.8850265806489763,4.80391,0.51636,-0.012766,22.19
-160,67,-0.8359905999440115,265.27588,75.58,-1.365099901421324,19.88862,0.32651,-0.016452,13.59
-160,68,-0.8474138899740937,262.76614,77.74,-1.7347082153095095,12.86781,0.45826,-0.047249,8.83
-160,69,-0.880382519820977,262.83093,78.27,-2.19754549483722,5.34326,0.51204,-0.042709,0.0
-160,70,-0.8868708477062355,262.94485,80.01,-2.231188081049414,0.68227,2.18494,-0.052021,0.0
-159,21,-0.7832290538384621,297.18231,71.75,0.21881736344255787,1.44562,22.84716,0.626121,0.0
-159,55,-0.8236961847973174,278.38724,84.97,-0.3358628812324871,0.74369,0.74952,0.462675,0.66
-159,56,-0.8236947623632048,275.75961,85.07,-0.8133250188550988,20.35797,0.63576,0.200121,9.34
-159,57,-0.8260269524259224,275.89612,83.0,-0.5365948476432942,0.34163,0.01114,0.411771,0.35
-159,58,-0.8276383745044122,275.13724,78.45,-0.5482008796145605,0.66985,0.8081,0.39624,1.17
-159,59,-0.795954196112212,273.51746,78.86,-1.3534922558357665,11.02517,0.90313,0.16553,1.69
-159,60,-0.79430378738192,271.60928,80.0,-1.5309693292944524,15.89616,0.00496,0.018909,8.18
-159,61,-0.793913053019875,271.13382,78.95,-0.7983978770332764,20.56521,0.37964,0.08287,17.42
-159,62,-0.7898280670151623,271.73129,76.01,-0.7358746920653825,7.49337,1.40224,0.047747,20.91
-159,63,-0.7871123220445101,271.55078,73.96,0.41427142469325284,3.04558,0.56054,0.039056,42.68
-159,64,-0.8020700744831404,269.7121,75.57,-0.015459255091615165,15.08678,0.79474,0.053661,33.79
-159,65,-0.8098119546821413,268.16089,75.71,0.42475022024055364,17.94634,0.0153,0.058932,41.55
-159,66,-0.8137491583139772,267.72891,74.49,-0.6698646990812809,5.63324,0.00024,-0.0124,26.13
-159,67,-0.8220820848964216,265.07944,75.58,-1.483103720767983,14.56478,0.26444,-0.033491,12.55
-159,68,-0.8429436787008945,262.75171,78.35,-1.8771134616137841,11.41817,0.483,-0.045053,6.06
-159,69,-0.8759695946837813,262.71985,78.51,-2.2055189900874685,4.39006,0.68617,-0.044916,0.0
-159,70,-0.8845843578944774,262.72705,79.75,-2.2283628552742916,0.48317,1.54165,-0.051239,0.0
-158,20,-0.7849298253780749,297.57538,,-0.6202277250997534,0.06854,4.72608,0.39388,0.0
-158,21,-0.7959504460889116,296.93756,72.65,0.1436815316711888,2.71609,18.29037,0.605324,0.0
-158,56,-0.8223630635037001,276.91849,85.61,-0.6151136041742886,7.66681,0.0,0.335806,3.96
-158,57,-0.8044103440083733,275.54895,81.94,-0.4871486758228052,7.03388,0.21003,0.388051,2.84
-158,58,-0.8036483719916555,275.29907,78.88,-0.21793407738856624,1.23122,0.87908,0.444991,4.01
-158,59,-0.7889572963319205,274.17447,77.41,-0.606580467432236,2.5879,0.71677,0.397357,0.02
-158,60,-0.7891556468592072,272.31497,78.46,-1.4149357873979365,11.5568,0.38599,0.125989,3.19
-158,61,-0.7944312907583722,271.83142,77.07,-0.39795874985935364,15.08495,1.1501,0.115741,22.61
-158,62,-0.8057086847432654,271.23788,76.64,-0.1536580525835245,15.90833,2.03819,0.062129,30.68
-158,63,-0.8148093027110482,271.63898,73.08,0.755052007926589,4.5621,0.25706,0.030176,49.55
-158,64,-0.7975172382739468,270.07785,73.92,0.673048258005501,8.14181,0.39432,0.045335,47.03
-158,65,-0.8102533695148819,269.40048,72.84,0.8057751929729803,5.13545,0.42713,0.074261,47.55
-158,66,-0.8212273135228052,267.63794,74.86,-0.5518504405682557,11.22204,0.25551,-0.003921,27.74
-158,67,-0.8208746384431994,264.7612,75.34,-1.7441697390251605,18.26244,0.25912,-0.033343,7.73
-158,68,-0.8498405104486925,262.40118,78.54,-2.121328049552157,10.92998,0.01771,-0.049104,1.83
-158,69,-0.8763722108421454,262.55765,78.75,-2.208882526144551,4.15653,0.95205,-0.045847,0.0
-158,70,-0.8813232984850078,262.58664,79.83,-2.221624944698074,0.7817,1.55202,-0.049374,0.0
-157,19,-0.7855244504322167,297.29501,,-1.1756519386418467,0.04788,17.77843,0.240143,0.0
-157,20,-0.7606820957931495,296.60886,72.88,0.28172917184236435,6.32098,10.34218,0.582092,4.09
-157,21,-0.7627256179859154,296.80933,73.39,0.4121610751835092,1.64454,6.1778,0.679637,0.0
-157,56,-0.8116364711460656,277.89636,84.04,-0.46092793123133347,0.55899,0.0,0.432715,0.35
-157,57,-0.8083802682529406,275.52298,83.05,-0.8764245852088054,15.47012,0.17376,0.260022,4.19
-157,58,-0.8001773686099686,275.27505,79.07,0.014683700698343682,3.96933,0.59449,0.476328,6.21
-157,59,-0.7978911867694256,274.65619,77.76,-0.22918962977269997,3.41642,0.58399,0.454795,3.15
-157,60,-0.7911239152333547,272.7395,77.76,-0.3348474400687873,10.60059,0.20098,0.268263,13.62
-157,61,-0.794060113468218,272.78912,74.4,0.7892579380134517,4.4562,0.63272,0.191823,39.42
-157,62,-0.8181987946612742,271.23825,75.97,0.5408736110072709,15.89637,1.28557,0.136893,38.5
-157,63,-0.8153520688452198,270.91058,73.78,0.766943924378821,12.29767,0.91671,0.07493,46.79
-157,64,-0.8030617724467416,270.19458,73.12,0.9568742835734362,8.62698,0.40015,0.089494,49.32
-157,65,-0.8042214654023294,269.87225,71.72,0.67546427297969,2.29225,0.55029,0.034887,47.77
-157,66,-0.8219399195138597,267.59012,75.04,-0.5035845723358638,14.74083,0.38277,0.011692,27.59
-157,67,-0.8179985098911943,264.46579,75.29,-1.9993601669337404,34.55121,0.13484,-0.043737,3.72
-157,68,-0.8598445511706654,262.27722,78.12,-2.1970045337981827,9.68245,0.00064,-0.053676,0.74
-157,69,-0.8805433062571242,262.46552,78.84,-2.209820225579549,4.52542,1.2045,-0.046407,0.02
-157,70,-0.8855822511961924,262.46036,79.74,-2.2365567325862816,0.74107,2.43734,-0.053507,0.0
-156,18,-0.7967222803186749,297.38327,74.44,-0.8049030090013746,0.07007,7.15662,0.329243,0.9
-156,19,-0.7691159050627456,291.19336,79.42,0.14934859679308804,12.52789,6.20548,0.464328,9.49
-156,20,-0.7716746117974946,296.58182,77.35,0.43432347901000257,2.18805,12.42908,0.675556,0.68
-156,55,-0.8339377998787123,278.87982,,-0.8783673758136095,0.26372,0.0,0.322429,0.0
-156,57,-0.8051220481204389,276.98306,82.66,-0.6558819985441668,6.3553,0.05831,0.359975,1.6
-156,58,-0.8022694724964251,273.50864,82.47,-0.8714536708916771,22.82159,0.26491,0.273416,3.39
-156,59,-0.7988906969874943,274.74884,79.17,-0.5462169678531403,5.92729,0.53068,0.306353,7.19
-156,60,-0.8063528315449181,272.40826,78.66,0.061117453895981666,11.93793,0.16943,0.290882,19.41
-156,61,-0.8062063924026714,271.96948,76.45,0.8226876216191022,11.26095,0.23816,0.228267,37.61
-156,62,-0.8172538679678637,271.63574,74.42,0.8898893018206054,9.36728,0.66851,0.08883,48.13
-156,63,-0.8182039460493851,270.7373,73.77,0.8607048819719951,11.62255,0.37924,0.07279,48.66
-156,64,-0.8170416197551126,270.25732,72.7,1.0473034395049827,11.95356,1.71807,0.11182,49.5
-156,65,-0.8080631828401089,269.43491,72.92,0.6278263269068812,9.0441,0.17701,0.065417,44.86
-156,66,-0.8209422907869448,267.82074,73.97,0.20089937782534917,14.54703,0.42696,0.057513,37.52
-156,67,-0.8176927915005825,263.73077,75.35,-2.023908393771165,43.00356,0.00117,-0.059996,4.35
-156,68,-0.8726502538961578,262.58942,77.28,-2.171396697315637,14.36603,0.06532,-0.052597,1.14
-156,69,-0.8785280923463922,262.49033,78.66,-2.121420131113954,4.53036,1.56805,-0.047477,1.72
-156,70,-0.891006771219568,262.40262,79.68,-2.2361123556421134,0.76237,1.09818,-0.053384,0.0
-155,19,-0.7732339751300852,296.94772,80.87,0.6592554437427836,0.21347,13.80215,0.7276,1.36
