species,gmm_prob_0_mean,gmm_prob_1_mean,gmm_prob_2_mean,gmm_prob_3_mean,gmm_prob_4_mean,gmm_prob_5_mean,gmm_prob_6_mean,gmm_prob_7_mean,n_sequences,n_recordings,family_clean,social_bond,communal,territory,sexual_selection,mass,Beak.Length_Culmen,Beak.Width,Beak.Depth,Hand-Wing.Index,learners
Cichlocolaptes_leucophrus,5.029225387083369e-10,0.3329453597276755,0.11111083361925345,0.22353990629180703,0.001092609840010874,0.0005898292795056681,0.05527230250692001,0.2754491582319046,9,4,Furnariidae_(Ovenbirds_and_Woodcreepers),3.0,1.0,3.0,0.0,50.0,29.1,5.2,7.1,19.9,Non-Oscines
Cichlopsis_leucogenys,0.07458692368245168,0.49722550970000856,0.0048018055394221035,0.27991641091436026,0.01877628035766183,0.08731503359654708,0.030870717668612636,0.006507318540936208,37,6,Turdidae_(Thrushes_and_Allies),3.0,0.0,2.0,0.0,53.77,18.3,4.8,5.1,27.9,Oscines
Cicinnurus_regius,0.011831038140994305,0.804775584353062,7.899355909237129e-06,0.18225306271249558,4.7570019156067744e-05,0.0007302109679938093,0.00034709331927381407,7.541131115615986e-06,11,2,Paradisaeidae_(Birds-of-Paradise),1.0,0.0,1.0,4.0,51.63,26.3,5.2,5.8,7.6,Oscines
Cinclidium_frontale,0.3212125337829878,0.5863707113570357,5.674268581506413e-08,0.030099936889392057,2.0411560791002182e-05,0.062294735706898405,2.8717038391337198e-11,1.613931491545031e-06,35,5,Muscicapidae_(Old_World_Flycatchers),3.0,0.0,2.0,0.0,25.4,16.0,3.5,4.0,12.4,Oscines
Cinclocerthia_gutturalis,0.0006203606890948502,0.47880308247154474,0.3119765638601394,0.0015287681575854252,0.0016216701428930576,0.09245400315238476,0.11295119582272159,4.435570363550059e-05,7,2,Mimidae_(Mockingbirds_and_Thrashers),3.0,0.0,3.0,0.0,69.2,41.4,5.1,6.4,16.0,Oscines
Cinclodes_albiventris,1.926765079103164e-19,7.284021607371747e-15,0.08375282308113774,0.0631874610858343,0.6940333477515657,0.002821242999572609,0.15594107826004314,0.0002640468218401927,18,4,Furnariidae_(Ovenbirds_and_Woodcreepers),2.0,1.0,2.0,0.0,30.0,17.9,3.0,3.9,21.3,Non-Oscines
Cinclodes_excelsior,3.3904915596015006e-31,2.1882748724146958e-16,0.665486368230138,0.33445194299240083,6.822655605434806e-07,6.098155242273691e-08,5.8483432975655724e-05,2.4620973721461813e-06,3,3,Furnariidae_(Ovenbirds_and_Woodcreepers),3.0,0.0,3.0,0.0,63.96,26.2,4.7,5.7,22.0,Non-Oscines
Cinclodes_fuscus,1.6886804638325814e-47,2.064256240158104e-37,0.047596331467454976,5.4697043406615075e-17,0.0005320559172696316,0.16573735138110177,0.18619154306297864,0.5999427181711948,21,2,Furnariidae_(Ovenbirds_and_Woodcreepers),3.0,0.0,2.0,0.0,30.0,18.5,3.1,3.9,27.2,Non-Oscines
Cinclodes_pabsti,5.803377938495857e-37,4.4300526585666474e-21,0.8771073548675876,0.11902491712302884,3.196382662893582e-09,1.7734923573253504e-08,0.0038673628575387,3.442205383587058e-07,8,5,Furnariidae_(Ovenbirds_and_Woodcreepers),3.0,0.0,2.0,0.0,53.0,23.4,4.1,4.6,23.2,Non-Oscines
Cinclodes_patagonicus,6.370464692403954e-07,1.513370602848528e-12,0.2983017346291178,0.13013936353050304,0.17354591049319903,9.426358311493649e-05,0.2147884469156841,0.18312964380039795,25,4,Furnariidae_(Ovenbirds_and_Woodcreepers),3.0,0.0,2.0,0.0,30.7,24.5,3.4,4.3,25.4,Non-Oscines
