Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Phacellodomus sibilatrix,Phacellodomus sibilatrix,Phacellodomus sibilatrix,Phacellodomus sibilatrix,,,
Phacellodomus striaticeps,Phacellodomus striaticeps,Phacellodomus striaticeps,Phacellodomus striaticeps,,,
Phacellodomus striaticollis,Phacellodomus striaticollis,Phacellodomus striaticollis,Phacellodomus striaticollis,,,
Phaenicophaeus curvirostris,Phaenicophaeus curvirostris,,,,,
Phaenicophaeus diardi,Phaenicophaeus diardi,,,,,
Phaenicophaeus pyrrhocephalus,Phaenicophaeus pyrrhocephalus,,,,,
Phaenicophaeus sumatranus,Phaenicophaeus sumatranus,,,,,
Phaenicophaeus tristis,Phaenicophaeus tristis,,,,,
Phaenicophaeus viridirostris,Phaenicophaeus viridirostris,,,,,
Phaenicophilus palmarum,Phaenicophilus palmarum,,,,,
Phaenicophilus poliocephalus,Phaenicophilus poliocephalus,,,,,
Phaenostictus mcleannani,Phaenostictus mcleannani,Phaenostictus mcleannani,Phaenostictus mcleannani,,,
Phaeochroa cuvierii,Phaeochroa cuvierii,,,,,
Cynanthus sordidus,Phaeoptila sordida,,,,,
Phaethon aethereus,Phaethon aethereus,,,,,
Phaethon lepturus,Phaethon lepturus,,,,,
Phaethon rubricauda,Phaethon rubricauda,,,,,
Phaethornis anthophilus,Phaethornis anthophilus,,,,,
Phaethornis atrimentalis,Phaethornis atrimentalis,,,,,
Phaethornis augusti,Phaethornis augusti,,,,,
Phaethornis bourcieri,Phaethornis bourcieri,,,,,
Phaethornis eurynome,Phaethornis eurynome,,,,,
Phaethornis griseogularis,Phaethornis griseogularis,,,,,
Phaethornis guy,Phaethornis guy,,,,,
Phaethornis hispidus,Phaethornis hispidus,,,,,
Phaethornis idaliae,Phaethornis idaliae,,,,,
Phaethornis koepckeae,Phaethornis koepckeae,,,,,
Phaethornis malaris,Phaethornis malaris,,,,,
Phaethornis nattereri,Phaethornis nattereri,,,,,
Phaethornis philippii,Phaethornis philippii,,,,,
Phaethornis pretrei,Phaethornis pretrei,,,,,
Phaethornis ruber,Phaethornis ruber,,,,,
Phaethornis rupurumii,Phaethornis rupurumii,,,,,
Phaethornis squalidus,Phaethornis squalidus,,,,,
Phaethornis striigularis,Phaethornis striigularis,,,,,
Phaethornis stuarti,Phaethornis stuarti,,,,,
Phaethornis subochraceus,Phaethornis subochraceus,,,,,
Phaethornis superciliosus,Phaethornis superciliosus,,,,,
Phaethornis syrmatophorus,Phaethornis syrmatophorus,,,,,
Phaethornis yaruqui,Phaethornis yaruqui,,,,,
Phaetusa simplex,Phaetusa simplex,,,,,
Phainopepla nitens,Phainopepla nitens,,,,,
Phainoptila melanoxantha,Phainoptila melanoxantha,,,,,
Phalacrocorax capensis,Phalacrocorax capensis,,,,,
Phalacrocorax capillatus,Phalacrocorax capillatus,,,,,
Phalacrocorax carbo,Phalacrocorax carbo,,,,,
Phalacrocorax featherstoni,Phalacrocorax featherstoni,,,,,
Phalacrocorax fuscescens,Phalacrocorax fuscescens,,,,,
Phalacrocorax fuscicollis,Phalacrocorax fuscicollis,,,,,
Phalacrocorax neglectus,Phalacrocorax neglectus,,,,,
Phalacrocorax nigrogularis,Phalacrocorax nigrogularis,,,,,
Phalacrocorax punctatus,Phalacrocorax punctatus,,,,,
Phalacrocorax sulcirostris,Phalacrocorax sulcirostris,,,,,
Phalacrocorax varius,Phalacrocorax varius,,,,,
Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,,,,,
Phalaropus fulicarius,Phalaropus fulicarius,,,,,
Phalaropus lobatus,Phalaropus lobatus,,,,,
Steganopus tricolor,Phalaropus tricolor,,,,,
Phapitreron amethystinus,Phapitreron amethystinus,,,,,
Phapitreron brunneiceps,Phapitreron brunneiceps,,,,,
Phapitreron cinereiceps,Phapitreron cinereiceps,,,,,
Phapitreron leucotis,Phapitreron leucotis,,,,,
Phaps chalcoptera,Phaps chalcoptera,,,,,
Phaps elegans,Phaps elegans,,,,,
Phaps histrionica,Phaps histrionica,,,,,
Pharomachrus antisianus,Pharomachrus antisianus,,,,,
Pharomachrus auriceps,Pharomachrus auriceps,,,,,
Pharomachrus fulgidus,Pharomachrus fulgidus,,,,,
Pharomachrus mocinno,Pharomachrus mocinno,,,,,
Pharomachrus pavoninus,Pharomachrus pavoninus,,,,,
Phedina borbonica,Phedina borbonica,,,,,
Phedina brazzae,Phedina brazzae,,,,,
Phegornis mitchellii,Phegornis mitchellii,,,,,
Phelpsia inornatus,Phelpsia inornata,Phelpsia inornata,Phelpsia inornata,,,
Pheucticus aureoventris,Pheucticus aureoventris,Pheucticus aureoventris,Pheucticus aureoventris,,,
Pheucticus chrysogaster,Pheucticus chrysogaster,Pheucticus chrysogaster,Pheucticus chrysogaster,,,
Pheucticus chrysopeplus,Pheucticus chrysopeplus,Pheucticus chrysopeplus,Pheucticus chrysopeplus,,,
Pheucticus ludovicianus,Pheucticus ludovicianus,Pheucticus ludovicianus,Pheucticus ludovicianus,,,
Pheucticus melanocephalus,Pheucticus melanocephalus,Pheucticus melanocephalus,Guiraca melanocephala,Pheucticus melanocephalus,,
Pheucticus tibialis,Pheucticus tibialis,,,,,
Thryothorus atrogularis,Pheugopedius atrogularis,Pheugopedius atrogularis,Thryothorus atrogularis,Pheugopedius atrogularis,,
Thryothorus coraya,Pheugopedius coraya,Pheugopedius coraya,Turdus coraya,Pheugopedius coraya,,
Thryothorus eisenmanni,Pheugopedius eisenmanni,Pheugopedius eisenmanni,Pheugopedius eisenmanni,,,
Thryothorus euophrys,Pheugopedius euophrys,Pheugopedius euophrys,Thryothorus euophrys,Pheugopedius euophrys,,
Thryothorus fasciatoventris,Pheugopedius fasciatoventris,Pheugopedius fasciatoventris,Thryothorus fasciatoventris,Pheugopedius fasciatoventris,,
Thryothorus felix,Pheugopedius felix,Pheugopedius felix,Thryothorus felix,Pheugopedius felix,,
Thryothorus genibarbis,Pheugopedius genibarbis,Pheugopedius genibarbis,Thryothorus genibarbis,Pheugopedius genibarbis,,
Thryothorus maculipectus,Pheugopedius maculipectus,Pheugopedius maculipectus,Thryothorus maculipectus,Pheugopedius maculipectus,,
Thryothorus mystacalis,Pheugopedius mystacalis,Pheugopedius mystacalis,Pheugopedius mystacalis,,,
Thryothorus rutilus,Pheugopedius rutilus,Pheugopedius rutilus,Thryothorus rutilus,Pheugopedius rutilus,,
Thryothorus sclateri,Pheugopedius sclateri,Pheugopedius sclateri,Thryothorus sclateri,Pheugopedius sclateri,,
Thryothorus spadix,Pheugopedius spadix,Pheugopedius spadix,Pheugopedius spadix,,,
Phibalura flavirostris,Phibalura flavirostris,,,,,
Philemon albitorques,Philemon albitorques,,,,,
Philemon argenticeps,Philemon argenticeps,,,,,
Philemon brassi,Philemon brassi,,,,,
Philemon citreogularis,Philemon citreogularis,Philemon citreogularis,Philemon citreogularis,,,
Philemon cockerelli,Philemon cockerelli,,,,,
Philemon corniculatus,Philemon corniculatus,Philemon corniculatus,Philemon corniculatus,,,
Philemon diemenensis,Philemon diemenensis,,,,,
Philemon eichhorni,Philemon eichhorni,,,,,
Philemon fuscicapillus,Philemon fuscicapillus,Philemon fuscicapillus,Philemon fuscicapillus,,,
Philemon inornatus,Philemon inornatus,,,,,
Philemon kisserensis,Philemon kisserensis,,,,,
Philemon meyeri,Philemon meyeri,Philemon meyeri,Philemon meyeri,,,
Philemon subcorniculatus,Philemon subcorniculatus,,,,,
Philentoma pyrhoptera,Philentoma pyrhoptera,Philentoma pyrhoptera,Philentoma pyrhoptera,,,
Philentoma velata,Philentoma velata,Philentoma velata,Philentoma velata,,,
Philepitta castanea,Philepitta castanea,,,,,
Philepitta schlegeli,Philepitta schlegeli,,,,,
Philetairus socius,Philetairus socius,,,,,
Calliphlox bryantae,Philodice bryantae,,,,,
Calliphlox mitchellii,Philodice mitchellii,,,,,
Philortyx fasciatus,Philortyx fasciatus,,,,,
Philydor atricapillus,Philydor atricapillus,Philydor atricapillus,Anabates atricapillus,Philydor atricapillus,,
Philydor erythrocercum,Philydor erythrocercum,,,,,
Philydor fuscipenne,Philydor fuscipenne,,,,,
Philydor novaesi,Philydor novaesi,,,,,
Philydor pyrrhodes,Philydor pyrrhodes,Philydor pyrrhodes,Anabates pyrrhodes,Philydor pyrrhodes,,
Phimosus infuscatus,Phimosus infuscatus,,,,,
Skutchia borbae,Phlegopsis borbae,Phlegopsis borbae,Phlegopsis borbae,,,
Phlegopsis erythroptera,Phlegopsis erythroptera,Phlegopsis erythroptera,Phlegopsis erythroptera,,,
Phlegopsis nigromaculata,Phlegopsis nigromaculata,Phlegopsis nigromaculata,Phlegopsis nigromaculata,,,
Phleocryptes melanops,Phleocryptes melanops,Phleocryptes melanops,Phleocryptes melanops,,,
Phlogophilus harterti,Phlogophilus harterti,,,,,
Phlogophilus hemileucurus,Phlogophilus hemileucurus,,,,,
Phoebastria albatrus,Phoebastria albatrus,,,,,
Phoebastria immutabilis,Phoebastria immutabilis,,,,,
Phoebastria irrorata,Phoebastria irrorata,,,,,
Phoebastria nigripes,Phoebastria nigripes,,,,,
Phoebetria fusca,Phoebetria fusca,,,,,
Phoebetria palpebrata,Phoebetria palpebrata,,,,,
Phoenicircus carnifex,Phoenicircus carnifex,Phoenicircus carnifex,Lanius carnifex,Phoenicircus carnifex,,
Phoenicircus nigricollis,Phoenicircus nigricollis,,,,,
Phoeniconaias minor,Phoeniconaias minor,,,,,
Phoenicoparrus andinus,Phoenicoparrus andinus,,,,,
Phoenicoparrus jamesi,Phoenicoparrus jamesi,,,,,
Phoenicopterus chilensis,Phoenicopterus chilensis,,,,,
Phoenicopterus roseus,Phoenicopterus roseus,,,,,
Phoenicopterus ruber,Phoenicopterus ruber,,,,,
Phoeniculus bollei,Phoeniculus bollei,,,,,
Phoeniculus damarensis,Phoeniculus damarensis,,,,,
Phoeniculus purpureus,Phoeniculus purpureus,,,,,
Phoeniculus somaliensis,Phoeniculus somaliensis,,,,,
Phoenicurus alaschanicus,Phoenicurus alaschanicus,,,,,
Phoenicurus auroreus,Phoenicurus auroreus,Phoenicurus auroreus,Phoenicurus auroreus,,,
Rhyacornis bicolor,Phoenicurus bicolor,,,,,
Phoenicurus caeruleocephala,Phoenicurus coeruleocephala,,,,,
Phoenicurus erythrogastrus,Phoenicurus erythrogastrus,,,,,
Phoenicurus erythronotus,Phoenicurus erythronotus,,,,,
Phoenicurus frontalis,Phoenicurus frontalis,,,,,
Rhyacornis fuliginosa,Phoenicurus fuliginosus,Phoenicurus fuliginosus,Phoenicurus fuliginosus,,,
Phoenicurus hodgsoni,Phoenicurus hodgsoni,,,,,
Chaimarrornis leucocephalus,Phoenicurus leucocephalus,,,,,
Phoenicurus moussieri,Phoenicurus moussieri,Phoenicurus moussieri,Erithacus moussieri,Phoenicurus moussieri,,
Phoenicurus ochruros,Phoenicurus ochruros,Phoenicurus ochruros,Phoenicurus ochruros,,,
Phoenicurus phoenicurus,Phoenicurus phoenicurus,Phoenicurus phoenicurus,Phoenicurus phoenicurus,,,
Phoenicurus schisticeps,Phoenicurus schisticeps,,,,,
Cinnyricinclus sharpii,Pholia sharpii,,,,,
Pholidornis rushiae,Pholidornis rushiae,,,,,
Tiaris canorus,Phonipara canora,,,,,
Manucodia keraudrenii,Phonygammus keraudrenii,,,,,
Phragmacia substriata,Phragmacia substriata,Phragmacia substriata,Phragmacia substriata,,,
Phrygilus atriceps,Phrygilus atriceps,,,,,
Phrygilus gayi,Phrygilus gayi,Phrygilus gayi,Phrygilus gayi,,,
Phrygilus patagonicus,Phrygilus patagonicus,Phrygilus patagonicus,Phrygilus patagonicus,,,
Phrygilus punensis,Phrygilus punensis,,,,,
Phylidonyris niger,Phylidonyris niger,,,,,
Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,,,
Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,Phylidonyris pyrrhopterus,,,
Phyllastrephus albigularis,Phyllastrephus albigularis,,,,,
Phyllastrephus baumanni,Phyllastrephus baumanni,,,,,
Phyllastrephus cabanisi,Phyllastrephus cabanisi,,,,,
Phyllastrephus cerviniventris,Phyllastrephus cerviniventris,Phyllastrephus cerviniventris,Phyllastrephus cerviniventris,,,
Phyllastrephus fischeri,Phyllastrephus fischeri,,,,,
Phyllastrephus flavostriatus,Phyllastrephus flavostriatus,,,,,
Phyllastrephus fulviventris,Phyllastrephus fulviventris,,,,,
Phyllastrephus hypochloris,Phyllastrephus hypochloris,,,,,
Phyllastrephus icterinus,Phyllastrephus icterinus,,,,,
Phyllastrephus lorenzi,Phyllastrephus lorenzi,,,,,
Phyllastrephus poensis,Phyllastrephus poensis,,,,,
Phyllastrephus poliocephalus,Phyllastrephus poliocephalus,,,,,
Pyrrhurus scandens,Phyllastrephus scandens,,,,,
Phyllastrephus strepitans,Phyllastrephus strepitans,Phyllastrephus strepitans,Phyllastrephus strepitans,,,
Phyllastrephus terrestris,Phyllastrephus terrestris,,,,,
Phyllastrephus xavieri,Phyllastrephus xavieri,,,,,
Orthotomus cuculatus,Phyllergates cucullatus,Phyllergates cucullatus,Orthotomus cucullatus,Phyllergates cucullatus,,
Orthotomus heterolaemus,Phyllergates heterolaemus,Phyllergates heterolaemus,Phyllergates heterolaemus,,,
Phyllolais pulchella,Phyllolais pulchella,,,,,
Phyllomyias cinereiceps,Phyllomyias cinereiceps,,,,,
Phyllomyias fasciatus,Phyllomyias fasciatus,Phyllomyias fasciatus,Phyllomyias fasciatus,,,
Phyllomyias griseiceps,Phyllomyias griseiceps,Phyllomyias griseiceps,Tyranniscus griseiceps,Phyllomyias griseiceps,,
Phyllomyias griseocapilla,Phyllomyias griseocapilla,,,,,
Phyllomyias nigrocapillus,Phyllomyias nigrocapillus,,,,,
Phyllomyias plumbeiceps,Phyllomyias plumbeiceps,,,,,
Phyllomyias reiseri,Phyllomyias reiseri,Phyllomyias reiseri,Phyllomyias reiseri,,,
Phyllomyias sclateri,Phyllomyias sclateri,,,,,
Phyllomyias urichi,Phyllomyias urichi,,,,,
Phyllomyias uropygialis,Phyllomyias uropygialis,,,,,
Phyllomyias virescens,Phyllomyias virescens,Phyllomyias virescens,Phyllomyias virescens,,,
Phyllomyias weedeni,Phyllomyias weedeni,,,,,
Phylloscartes beckeri,Phylloscartes beckeri,,,,,
Phylloscartes ceciliae,Phylloscartes ceciliae,,,,,
Phylloscartes flaviventris,Phylloscartes flaviventris,,,,,
Phylloscartes flavovirens,Phylloscartes flavovirens,,,,,
Phylloscartes gualaquizae,Phylloscartes gualaquizae,Phylloscartes gualaquizae,Phylloscartes gualaquizae,,,
Phylloscartes kronei,Phylloscartes kronei,Phylloscartes kronei,Phylloscartes kronei,,,
Phylloscartes nigrifrons,Phylloscartes nigrifrons,,,,,
Phylloscartes oustaleti,Phylloscartes oustaleti,Phylloscartes oustaleti,Phylloscartes oustaleti,,,
Phylloscartes parkeri,Phylloscartes parkeri,,,,,
Phylloscartes roquettei,Phylloscartes roquettei,,,,,
Phylloscartes superciliaris,Phylloscartes superciliaris,Phylloscartes superciliaris,Phylloscartes superciliaris,,,
Phylloscartes sylviolus,Phylloscartes sylviolus,,,,,
Phylloscartes ventralis,Phylloscartes ventralis,Phylloscartes ventralis,Phylloscartes ventralis,,,
Phylloscartes virescens,Phylloscartes virescens,,,,,
Phylloscopus amoenus,Phylloscopus amoenus,,,,,
Phylloscopus armandii,Phylloscopus armandii,Phylloscopus armandii,Phylloscopus armandii,,,
Phylloscopus bonelli,Phylloscopus bonelli,Phylloscopus bonelli,Phylloscopus bonelli,,,
Phylloscopus borealoides,Phylloscopus borealoides,,,,,
Phylloscopus budongoensis,Phylloscopus budongoensis,,,,,
Seicercus burkii,Phylloscopus burkii,,,,,
Phylloscopus canariensis,Phylloscopus canariensis,Phylloscopus canariensis,Phylloscopus canariensis,,,
Phylloscopus cantator,Phylloscopus cantator,,,,,
Seicercus castaniceps,Phylloscopus castaniceps,Seicercus castaniceps,Phylloscopus castaniceps,Phylloscopus castaniceps,,
Phylloscopus cebuensis,Phylloscopus cebuensis,,,,,
Phylloscopus chloronotus,Phylloscopus chloronotus,Phylloscopus chloronotus,Phylloscopus chloronotus,,,
Phylloscopus claudiae,Phylloscopus claudiae,Phylloscopus claudiae,Phylloscopus claudiae,,,
Phylloscopus collybita,Phylloscopus collybita,Phylloscopus collybita,Phylloscopus collybita,,,
Phylloscopus coronatus,Phylloscopus coronatus,Phylloscopus coronatus,Phylloscopus coronatus,,,
Phylloscopus emeiensis,Phylloscopus emeiensis,Phylloscopus emeiensis,Phylloscopus emeiensis,,,
Phylloscopus forresti,Phylloscopus forresti,Phylloscopus forresti,Phylloscopus forresti,,,
Phylloscopus fuligiventer,Phylloscopus fuligiventer,,,,,
Phylloscopus fuscatus,Phylloscopus fuscatus,Phylloscopus fuscatus,Phylloscopus fuscatus,,,
Phylloscopus goodsoni,Phylloscopus goodsoni,Phylloscopus goodsoni,Phylloscopus goodsoni,,,
Seicercus grammiceps,Phylloscopus grammiceps,Seicercus grammiceps,Phylloscopus grammiceps,Phylloscopus grammiceps,,
Phylloscopus griseolus,Phylloscopus griseolus,,,,,
Phylloscopus hainanus,Phylloscopus hainanus,Phylloscopus hainanus,Phylloscopus hainanus,,,
Phylloscopus herberti,Phylloscopus herberti,,,,,
Phylloscopus humei,Phylloscopus humei,Phylloscopus humei,Phylloscopus humei,,,
Phylloscopus ibericus,Phylloscopus ibericus,Phylloscopus ibericus,Phylloscopus ibericus,,,
Phylloscopus ijimae,Phylloscopus ijimae,Phylloscopus ijimae,Phylloscopus ijimae,,,
Phylloscopus inornatus,Phylloscopus inornatus,Phylloscopus inornatus,Regulus inornatus,Phylloscopus inornatus,,
Phylloscopus davisoni,Phylloscopus intensior,Phylloscopus davisoni,Phylloscopus intensior,,,
Seicercus affinis,Phylloscopus intermedius,Seicercus affinis,Phylloscopus intermedius,Phylloscopus intermedius,,
Phylloscopus kansuensis,Phylloscopus kansuensis,Phylloscopus kansuensis,Phylloscopus kansuensis,,,
Phylloscopus laetus,Phylloscopus laetus,,,,,
Phylloscopus laurae,Phylloscopus laurae,Phylloscopus laurae,Phylloscopus laurae,,,
Phylloscopus maculipennis,Phylloscopus maculipennis,Phylloscopus maculipennis,Phylloscopus maculipennis,,,
Phylloscopus poliocephalus,Phylloscopus maforensis,Phylloscopus poliocephalus,Phylloscopus poliocephalus,,,
Phylloscopus magnirostris,Phylloscopus magnirostris,Phylloscopus magnirostris,Phylloscopus magnirostris,,,
Phylloscopus makirensis,Phylloscopus makirensis,,,,,
Phylloscopus poliocephalus,Phylloscopus misoriensis,Phylloscopus poliocephalus,Phylloscopus poliocephalus,,,
Seicercus montis,Phylloscopus montis,Seicercus montis,,,,
Phylloscopus neglectus,Phylloscopus neglectus,Phylloscopus neglectus,Phylloscopus neglectus,,,
Phylloscopus nitidus,Phylloscopus nitidus,Phylloscopus nitidus,Phylloscopus nitidus,,,
Phylloscopus occipitalis,Phylloscopus occipitalis,Phylloscopus occipitalis,Phylloscopus occipitalis,,,
Phylloscopus ogilviegranti,Phylloscopus ogilviegranti,Phylloscopus ogilviegranti,Phylloscopus ogilviegranti,,,
Phylloscopus olivaceus,Phylloscopus olivaceus,,,,,
Seicercus omeiensis,Phylloscopus omeiensis,Seicercus omeiensis,,,,
Phylloscopus orientalis,Phylloscopus orientalis,Phylloscopus orientalis,Phylloscopus orientalis,,,
Phylloscopus poliocephalus,Phylloscopus poliocephalus,Phylloscopus poliocephalus,Phylloscopus poliocephalus,,,
Seicercus poliogenys,Phylloscopus poliogenys,Seicercus poliogenys,Phylloscopus poliogenys,Phylloscopus poliogenys,,
Phylloscopus proregulus,Phylloscopus proregulus,Phylloscopus proregulus,Phylloscopus proregulus,,,
Phylloscopus pulcher,Phylloscopus pulcher,Phylloscopus pulcher,Phylloscopus pulcher,,,
Phylloscopus reguloides,Phylloscopus reguloides,Phylloscopus reguloides,Phylloscopus reguloides,,,
Phylloscopus ricketti,Phylloscopus ricketti,Phylloscopus ricketti,Phylloscopus ricketti,,,
Phylloscopus ruficapilla,Phylloscopus ruficapilla,Phylloscopus ruficapilla,Phylloscopus ruficapilla,,,
Phylloscopus sarasinorum,Phylloscopus sarasinorum,,,,,
Phylloscopus schwarzi,Phylloscopus schwarzi,Phylloscopus schwarzi,Phylloscopus schwarzi,,,
Phylloscopus sibilatrix,Phylloscopus sibilatrix,Phylloscopus sibilatrix,Motacilla sibilatrix,Phylloscopus sibilatrix,,
Phylloscopus sindianus,Phylloscopus sindianus,Phylloscopus sindianus,Phylloscopus sindianus,,,
Seicercus soror,Phylloscopus soror,Seicercus soror,,,,
Phylloscopus subaffinis,Phylloscopus subaffinis,Phylloscopus subaffinis,Phylloscopus subaffinis,,,
Phylloscopus subviridis,Phylloscopus subviridis,,,,,
Phylloscopus tenellipes,Phylloscopus tenellipes,Phylloscopus tenellipes,Phylloscopus tenellipes,,,
Seicercus tephrocephalus,Phylloscopus tephrocephalus,,,,,
Phylloscopus trivirgatus,Phylloscopus trivirgatus,Phylloscopus trivirgatus,Phylloscopus trivirgatus,,,
Phylloscopus trochilus,Phylloscopus trochilus,,,,,
Phylloscopus tytleri,Phylloscopus tytleri,,,,,
Phylloscopus umbrovirens,Phylloscopus umbrovirens,Phylloscopus umbrovirens,Phylloscopus umbrovirens,,,
Seicercus valentini,Phylloscopus valentini,Seicercus valentini,,,,
Seicercus whistleri,Phylloscopus whistleri,Seicercus whistleri,,,,
Phylloscopus xanthoschistos,Phylloscopus xanthoschistos,Phylloscopus xanthoschistos,Phylloscopus xanthoschistos,,,
Phylloscopus yunnanensis,Phylloscopus yunnanensis,Phylloscopus yunnanensis,Phylloscopus yunnanensis,,,
Phytotoma raimondii,Phytotoma raimondii,,,,,
Phytotoma rara,Phytotoma rara,Phytotoma rara,Phytotoma rara,,,
Phytotoma rutila,Phytotoma rutila,Phytotoma rutila,Phytotoma rutila,,,
Piaya cayana,Piaya cayana,,,,,
Piaya melanogaster,Piaya melanogaster,,,,,
Pica hudsonia,Pica hudsonia,,,,,
Pica nuttalli,Pica nuttalli,,,,,
Picathartes gymnocephalus,Picathartes gymnocephalus,,,,,
Picathartes oreas,Picathartes oreas,,,,,
Picoides arcticus,Picoides arcticus,,,,,
Picoides dorsalis,Picoides dorsalis,,,,,
Picoides tridactylus,Picoides tridactylus,,,,,
Piculus aurulentus,Piculus aurulentus,,,,,
Piculus callopterus,Piculus callopterus,,,,,
Piculus chrysochloros,Piculus chrysochloros,,,,,
Piculus flavigula,Piculus flavigula,,,,,
Piculus leucolaemus,Piculus leucolaemus,,,,,
Piculus litae,Piculus litae,,,,,
Piculus simplex,Piculus simplex,,,,,
Picumnus albosquamatus,Picumnus albosquamatus,,,,,
Picumnus aurifrons,Picumnus aurifrons,,,,,
Picumnus castelnau,Picumnus castelnau,,,,,
Picumnus cinnamomeus,Picumnus cinnamomeus,,,,,
Picumnus cirratus,Picumnus cirratus,,,,,
Picumnus dorbignyanus,Picumnus dorbignyanus,,,,,
Picumnus exilis,Picumnus exilis,,,,,
Picumnus fuscus,Picumnus fuscus,,,,,
Picumnus granadensis,Picumnus granadensis,,,,,
Picumnus innominatus,Picumnus innominatus,,,,,
Picumnus lafresnayi,Picumnus lafresnayi,,,,,
Picumnus minutissimus,Picumnus minutissimus,,,,,
Picumnus nebulosus,Picumnus nebulosus,,,,,
Picumnus olivaceus,Picumnus olivaceus,,,,,
Picumnus pumilus,Picumnus pumilus,,,,,
Picumnus pygmaeus,Picumnus pygmaeus,,,,,
Picumnus rufiventris,Picumnus rufiventris,,,,,
Picumnus sclateri,Picumnus sclateri,,,,,
Picumnus spilogaster,Picumnus spilogaster,,,,,
Picumnus steindachneri,Picumnus steindachneri,,,,,
Picumnus subtilis,Picumnus subtilis,,,,,
Picumnus temminckii,Picumnus temminckii,,,,,
Picumnus varzeae,Picumnus varzeae,,,,,
Picus awokera,Picus awokera,,,,,
Picus canus,Picus canus,,,,,
Picus chlorolophus,Picus chlorolophus,,,,,
Picus erythropygius,Picus erythropygius,,,,,
Picus puniceus,Picus puniceus,,,,,
Picus rabieri,Picus rabieri,,,,,
Picus squamatus,Picus squamatus,,,,,
Picus vaillantii,Picus vaillantii,,,,,
Picus viridanus,Picus viridanus,,,,,
Picus vittatus,Picus vittatus,,,,,
Picus xanthopygaeus,Picus xanthopygaeus,,,,,
Piezorhina cinerea,Piezorina cinerea,,,,,
Pilherodius pileatus,Pilherodius pileatus,,,,,
Cercomela sordida,Pinarochroa sordida,,,,,
Pinarocorys erythropygia,Pinarocorys erythropygia,,,,,
Pinarocorys nigricans,Pinarocorys nigricans,,,,,
Pinaroloxias inornata,Pinaroloxias inornata,,,,,
Pinarornis plumosus,Pinarornis plumosus,,,,,
Pinicola enucleator,Pinicola enucleator,Pinicola enucleator,Pinicola enucleator,,,
Pionites leucogaster,Pionites leucogaster,,,,,
Pionites melanocephalus,Pionites melanocephalus,,,,,
Pionopsitta pileata,Pionopsitta pileata,,,,,
Pionus chalcopterus,Pionus chalcopterus,,,,,
Pionus fuscus,Pionus fuscus,,,,,
Pionus maximiliani,Pionus maximiliani,,,,,
Pionus menstruus,Pionus menstruus,,,,,
Pionus senilis,Pionus senilis,,,,,
Pionus sordidus,Pionus sordidus,,,,,
Pionus tumultuosus,Pionus tumultuosus,,,,,
Pipile cujubi,Pipile cujubi,,,,,
Pipile cumanensis,Pipile cumanensis,,,,,
Pipile jacutinga,Pipile jacutinga,,,,,
Pipile pipile,Pipile pipile,,,,,
Pipilo chlorurus,Pipilo chlorurus,Pipilo chlorurus,Fringilla chlorura,Pipilo chlorurus,,
Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus,Pipilo erythrophthalmus,,,
Pipilo maculatus,Pipilo maculatus,Pipilo maculatus,,,,
Pipilo ocai,Pipilo ocai,Pipilo ocai,,,,
Pipra aureola,Pipra aureola,,,,,
Pipra fasciicauda,Pipra fasciicauda,Pipra fasciicauda,Pipra fasciicauda,,,
Pipra filicauda,Pipra filicauda,Pipra filicauda,Pipra filicauda,,,
Pipraeidea melanonota,Pipraeidea melanonota,Pipraeidea melanonota,Pipraeidea melanonota,,,
Pipreola arcuata,Pipreola arcuata,Pipreola arcuata,Pipreola arcuata,,,
Pipreola aureopectus,Pipreola aureopectus,Pipreola aureopectus,Pipreola aureopectus,,,
Pipreola chlorolepidota,Pipreola chlorolepidota,,,,,
Pipreola formosa,Pipreola formosa,,,,,
Pipreola frontalis,Pipreola frontalis,,,,,
Pipreola intermedia,Pipreola intermedia,,,,,
Pipreola jucunda,Pipreola jucunda,,,,,
Pipreola lubomirskii,Pipreola lubomirskii,Pipreola lubomirskii,Pipreola lubomirskii,,,
Pipreola pulchra,Pipreola pulchra,,,,,
Pipreola riefferii,Pipreola riefferii,Pipreola riefferii,Pipreola riefferii,,,
Pipreola whitelyi,Pipreola whitelyi,,,,,
Piprites chloris,Piprites chloris,Piprites chloris,Pipra chloris,Piprites chloris,,
Piprites griseiceps,Piprites griseiceps,,,,,
Piprites pileata,Piprites pileata,,,,,
Piranga bidentata,Piranga bidentata,Piranga bidentata,Piranga bidentata,,,
Piranga erythrocephala,Piranga erythrocephala,,,,,
Piranga leucoptera,Piranga leucoptera,Piranga leucoptera,Piranga leucoptera,,,
Piranga ludoviciana,Piranga ludoviciana,Piranga ludoviciana,Tanagra ludoviciana,Piranga ludoviciana,,
Piranga olivacea,Piranga olivacea,Piranga olivacea,Piranga olivacea,,,
Piranga roseogularis,Piranga roseogularis,Piranga roseogularis,Piranga roseogularis,,,
