Scientific name (BirdTree),Scientific name (Clements),wiki_species_1,wiki_species_2,wiki_species_3,wiki_species_4,wiki_species_5
Amaurospiza concolor,Amaurospiza concolor,Amaurospiza aequatorialis,,,,
Amaurospiza moesta,Amaurospiza moesta,Amaurospiza moesta,Amaurospiza moesta,,,
Amazilia boucardi,Amazilia boucardi,,,,,
Amazilia luciae,Amazilia luciae,,,,,
Amazilia rutila,Amazilia rutila,,,,,
Amazilia tzacatl,Amazilia tzacatl,,,,,
Amazilia yucatanensis,Amazilia yucatanensis,,,,,
Amazilia amazilia,Amazilis amazilia,,,,,
Amazona aestiva,Amazona aestiva,,,,,
Amazona agilis,Amazona agilis,,,,,
Amazona albifrons,Amazona albifrons,,,,,
Amazona amazonica,Amazona amazonica,,,,,
Amazona arausiaca,Amazona arausiaca,,,,,
Amazona auropalliata,Amazona auropalliata,,,,,
Amazona autumnalis,Amazona autumnalis,,,,,
Amazona barbadensis,Amazona barbadensis,,,,,
Amazona brasiliensis,Amazona brasiliensis,,,,,
Amazona collaria,Amazona collaria,,,,,
Amazona dufresniana,Amazona dufresniana,,,,,
Amazona farinosa,Amazona farinosa,,,,,
Amazona festiva,Amazona festiva,,,,,
Amazona finschi,Amazona finschi,,,,,
Amazona guildingii,Amazona guildingii,,,,,
Amazona imperialis,Amazona imperialis,,,,,
Amazona kawalli,Amazona kawalli,,,,,
Amazona leucocephala,Amazona leucocephala,,,,,
Amazona mercenaria,Amazona mercenarius,,,,,
Amazona ochrocephala,Amazona ochrocephala,,,,,
Amazona oratrix,Amazona oratrix,,,,,
Amazona pretrei,Amazona pretrei,,,,,
Amazona rhodocorytha,Amazona rhodocorytha,,,,,
Amazona tucumana,Amazona tucumana,,,,,
Amazona ventralis,Amazona ventralis,,,,,
Amazona versicolor,Amazona versicolor,,,,,
Amazona vinacea,Amazona vinacea,,,,,
Amazona viridigenalis,Amazona viridigenalis,,,,,
Amazona vittata,Amazona vittata,,,,,
Amazona xantholora,Amazona xantholora,,,,,
Amazonetta brasiliensis,Amazonetta brasiliensis,,,,,
Amblycercus holosericeus,Amblycercus holosericeus,Amblycercus holosericeus,Amblycercus holosericeus,,,
Amblyornis flavifrons,Amblyornis flavifrons,,,,,
Amblyornis inornata,Amblyornis inornata,,,,,
Amblyornis macgregoriae,Amblyornis macgregoriae,,,,,
Prionodura newtoniana,Amblyornis newtoniana,,,,,
Amblyornis subalaris,Amblyornis subalaris,,,,,
Amblyospiza albifrons,Amblyospiza albifrons,Amblyospiza albifrons,Amblyospiza albifrons,,,
Amblyramphus holosericeus,Amblyramphus holosericeus,Amblyramphus holosericeus,Amblyramphus holosericeus,,,
Ammodramus aurifrons,Ammodramus aurifrons,Ammodramus aurifrons,Tanagra aurifrons,,,
Ammodramus humeralis,Ammodramus humeralis,Ammodramus humeralis,,,,
Ammodramus savannarum,Ammodramus savannarum,Ammodramus savannarum,Fringilla savannarum,Ammodramus savannarum,,
Ammomanes cinctura,Ammomanes cinctura,Ammomanes cinctura,Melanocorypha cinctura,Ammomanes cinctura,,
Ammomanes deserti,Ammomanes deserti,Ammomanes deserti,Ammomanes deserti,,,
Ammomanes phoenicura,Ammomanes phoenicura,,,,,
Ammomanes grayi,Ammomanopsis grayi,,,,,
Myrmeciza pelzelni,Ammonastes pelzelni,,,,,
Ammoperdix griseogularis,Ammoperdix griseogularis,,,,,
Ammoperdix heyi,Ammoperdix heyi,,,,,
Ammodramus caudacutus,Ammospiza caudacuta,Ammodramus caudacutus,Oriolus caudacutus,Ammodramus caudacutus,,
Ammodramus leconteii,Ammospiza leconteii,,,,,
Ammodramus maritimus,Ammospiza maritima,Ammodramus maritimus,Fringilla maritima,Ammodramus maritimus,,
Ammodramus nelsoni,Ammospiza nelsoni,Ammodramus nelsoni,Ammodramus nelsoni,,,
Ampeliceps coronatus,Ampeliceps coronatus,,,,,
Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,Ampelioides tschudii,,,
Ampelion rubrocristatus,Ampelion rubrocristatus,,,,,
Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,Ampelion rufaxilla,,,
Myrmeciza griseiceps,Ampelornis griseiceps,Myrmeciza griseiceps,,,,
Amphispiza bilineata,Amphispiza bilineata,Amphispiza bilineata,Emberiza bilineata,Amphispiza bilineata,,
Aimophila quinquestriata,Amphispizopsis quinquestriata,,,,,
Amytornis ballarae,Amytornis ballarae,,,,,
Amytornis barbatus,Amytornis barbatus,,,,,
Amytornis dorotheae,Amytornis dorotheae,,,,,
Amytornis goyderi,Amytornis goyderi,,,,,
Amytornis housei,Amytornis housei,,,,,
Amytornis merrotsyi,Amytornis merrotsyi,,,,,
Amytornis purnelli,Amytornis purnelli,,,,,
Amytornis woodwardi,Amytornis woodwardi,,,,,
Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,Anabacerthia amaurotis,,,
Philydor lichtensteini,Anabacerthia lichtensteini,Anabacerthia lichtensteini,Philydor lichtensteini,Anabacerthia lichtensteini,,
Philydor ruficaudatum,Anabacerthia ruficaudata,,,,,
Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,Anabacerthia striaticollis,,,
Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,Anabacerthia variegaticeps,,,
Nectarinia hartlaubii,Anabathmis hartlaubii,,,,,
Nectarinia newtonii,Anabathmis newtonii,,,,,
Nectarinia reichenbachii,Anabathmis reichenbachii,,,,,
Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,Anabazenops dorsalis,,,
Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,Anabazenops fuscus,,,
Anairetes alpinus,Anairetes alpinus,,,,,
Anairetes fernandezianus,Anairetes fernandezianus,,,,,
Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris,Anairetes flavirostris,,,
Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,Anairetes nigrocristatus,,,
Anairetes parulus,Anairetes parulus,Anairetes parulus,Anairetes parulus,,,
Anairetes reguloides,Anairetes reguloides,,,,,
Coracina analis,Analisoma analis,,,,,
Coracina coerulescens,Analisoma coerulescens,,,,,
Coracina ostenta,Analisoma ostenta,,,,,
Anaplectes rubriceps,Anaplectes rubriceps,,,,,
Anarhynchus frontalis,Anarhynchus frontalis,,,,,
Anas acuta,Anas acuta,,,,,
Anas andium,Anas andium,,,,,
Anas aucklandica,Anas aucklandica,,,,,
Anas bahamensis,Anas bahamensis,,,,,
Anas bernieri,Anas bernieri,,,,,
Anas capensis,Anas capensis,,,,,
Anas castanea,Anas castanea,,,,,
Anas chlorotis,Anas chlorotis,,,,,
Anas crecca,Anas crecca,,,,,
Anas eatoni,Anas eatoni,,,,,
Anas erythrorhyncha,Anas erythrorhyncha,,,,,
Anas flavirostris,Anas flavirostris,,,,,
Anas georgica,Anas georgica,,,,,
Anas gracilis,Anas gracilis,,,,,
Anas laysanensis,Anas laysanensis,,,,,
Anas luzonica,Anas luzonica,,,,,
Anas melleri,Anas melleri,,,,,
Anas nesiotis,Anas nesiotis,,,,,
Anas platyrhynchos,Anas platyrhynchos,,,,,
Anas rubripes,Anas rubripes,,,,,
Anas sparsa,Anas sparsa,,,,,
Anas superciliosa,Anas superciliosa,,,,,
Anas undulata,Anas undulata,,,,,
Anas wyvilliana,Anas wyvilliana,,,,,
Anastomus lamelligerus,Anastomus lamelligerus,,,,,
Anastomus oscitans,Anastomus oscitans,,,,,
Ancistrops strigilatus,Ancistrops strigilatus,,,,,
Andigena cucullata,Andigena cucullata,,,,,
Andigena hypoglauca,Andigena hypoglauca,,,,,
Andigena laminirostris,Andigena laminirostris,,,,,
Andigena nigrirostris,Andigena nigrirostris,,,,,
Androdon aequatorialis,Androdon aequatorialis,,,,,
Andropadus importunus,Andropadus importunus,Andropadus importunus,Andropadus importunus,,,
