grid_id,mpd
lonn165p000000_lat65p000000,150.4868864953407
lonn165p000000_lat66p000000,150.60298575104315
lonn165p000000_lat67p000000,149.22494049012704
lonn165p000000_lat68p000000,149.38841926961587
lonn164p000000_lat54p000000,149.67080141643441
lonn164p000000_lat55p000000,150.57649369399718
lonn164p000000_lat59p000000,149.89229649594913
lonn164p000000_lat60p000000,152.732084433862
lonn164p000000_lat61p000000,153.2449248893386
lonn164p000000_lat62p000000,151.94690312829917
lonn164p000000_lat63p000000,150.97383612711027
lonn164p000000_lat64p000000,149.12313983950452
lonn164p000000_lat65p000000,150.53932274303625
lonn164p000000_lat66p000000,150.19102406815796
lonn164p000000_lat67p000000,148.93914422296208
lonn164p000000_lat68p000000,149.85779853147514
lonn164p000000_lat69p000000,151.38442371586046
lonn163p000000_lat54p000000,150.33889720452115
lonn163p000000_lat55p000000,149.64818362753562
lonn163p000000_lat58p000000,151.08299036723193
lonn163p000000_lat59p000000,149.4955712047883
lonn163p000000_lat60p000000,152.49633576304583
lonn163p000000_lat61p000000,152.38116494426706
lonn163p000000_lat62p000000,151.71525988157993
lonn163p000000_lat63p000000,149.85623649228498
lonn163p000000_lat64p000000,149.29651788803514
lonn163p000000_lat65p000000,150.66032896464932
lonn163p000000_lat66p000000,150.38863510611375
lonn163p000000_lat67p000000,149.47624165058485
lonn163p000000_lat68p000000,151.6393439225878
lonn163p000000_lat69p000000,151.6630461508602
lonn162p000000_lat54p000000,150.49512913866658
lonn162p000000_lat55p000000,150.1775127440013
lonn162p000000_lat56p000000,150.84727680814987
lonn162p000000_lat58p000000,151.35528765927108
lonn162p000000_lat59p000000,151.50268603031958
lonn162p000000_lat60p000000,153.290038010659
lonn162p000000_lat61p000000,154.5044275602218
lonn162p000000_lat62p000000,154.25224395529565
lonn162p000000_lat63p000000,151.58487858736123
lonn162p000000_lat64p000000,149.717666859171
lonn162p000000_lat65p000000,150.18497018740038
lonn162p000000_lat66p000000,150.53815930276508
lonn162p000000_lat67p000000,149.4151203753005
lonn162p000000_lat68p000000,152.82191248165864
lonn162p000000_lat69p000000,151.26011246159806
lonn161p000000_lat54p000000,151.43246622241548
lonn161p000000_lat55p000000,149.91025070338185
lonn161p000000_lat56p000000,151.9041083089994
lonn161p000000_lat58p000000,152.5408518157059
lonn161p000000_lat59p000000,152.79458790269751
lonn161p000000_lat60p000000,154.14781580979863
lonn161p000000_lat61p000000,153.82464224280287
lonn161p000000_lat62p000000,154.50306607374705
lonn161p000000_lat63p000000,152.86340019222936
lonn161p000000_lat64p000000,152.14472354471536
lonn161p000000_lat65p000000,150.71546493556704
lonn161p000000_lat66p000000,150.16121914379045
lonn161p000000_lat67p000000,150.7501733846328
lonn161p000000_lat68p000000,153.09166130186512
lonn161p000000_lat69p000000,150.60658713127944
lonn161p000000_lat70p000000,149.85442717479364
lonn160p000000_lat21p000000,144.1338180012327
lonn160p000000_lat22p000000,143.79716139744264
lonn160p000000_lat54p000000,150.17072069025457
lonn160p000000_lat55p000000,149.5968327202922
lonn160p000000_lat56p000000,152.79806822951895
lonn160p000000_lat58p000000,152.78507447348954
lonn160p000000_lat59p000000,152.47079470257296
lonn160p000000_lat60p000000,153.0613526935545
lonn160p000000_lat61p000000,153.96161964611608
lonn160p000000_lat62p000000,154.5664937296648
lonn160p000000_lat63p000000,154.35424837049493
lonn160p000000_lat64p000000,153.59654110193176
lonn160p000000_lat65p000000,153.0338969685363
lonn160p000000_lat66p000000,152.0014953861152
lonn160p000000_lat67p000000,150.82027445465167
lonn160p000000_lat68p000000,154.2093745772182
lonn160p000000_lat69p000000,151.26086363339607
lonn160p000000_lat70p000000,150.3000317505068
lonn159p000000_lat21p000000,141.38991779758692
lonn159p000000_lat55p000000,149.8501115753511
lonn159p000000_lat56p000000,150.95115140299367
lonn159p000000_lat57p000000,151.7968751930407
lonn159p000000_lat58p000000,152.67092919315922
lonn159p000000_lat59p000000,152.65942626315262
lonn159p000000_lat60p000000,152.0659466464277
lonn159p000000_lat61p000000,153.20873947794405
lonn159p000000_lat62p000000,154.04929019449668
lonn159p000000_lat63p000000,155.2907916286017
lonn159p000000_lat64p000000,154.80998797907338
lonn159p000000_lat65p000000,153.35660415338336
lonn159p000000_lat66p000000,152.0288169897617
lonn159p000000_lat67p000000,150.95297027768711
lonn159p000000_lat68p000000,155.18785891137065
lonn159p000000_lat69p000000,152.432276051839
lonn159p000000_lat70p000000,148.8048042527738
lonn158p000000_lat20p000000,140.1308824490211
lonn158p000000_lat21p000000,142.07498654787614
lonn158p000000_lat56p000000,149.90622615137707
lonn158p000000_lat57p000000,152.94263974240712
lonn158p000000_lat58p000000,153.52910226424814
lonn158p000000_lat59p000000,152.07918826491195
lonn158p000000_lat60p000000,151.41005327580442
lonn158p000000_lat61p000000,153.39553537248244
lonn158p000000_lat62p000000,155.09718623464585
lonn158p000000_lat63p000000,155.68697568386526
lonn158p000000_lat64p000000,155.2060894653309
lonn158p000000_lat65p000000,153.6985330607207
lonn158p000000_lat66p000000,152.23130536505
lonn158p000000_lat67p000000,151.37209584210774
lonn158p000000_lat68p000000,154.25926626174197
lonn158p000000_lat69p000000,152.27078505166835
lonn158p000000_lat70p000000,148.57548669257343
lonn157p000000_lat19p000000,143.6877439105658
lonn157p000000_lat20p000000,143.76822583310425
lonn157p000000_lat21p000000,141.89564441379295
lonn157p000000_lat56p000000,151.00840600967862
lonn157p000000_lat57p000000,150.75467715046526
lonn157p000000_lat58p000000,152.3906495832106
lonn157p000000_lat59p000000,150.65990531627185
lonn157p000000_lat60p000000,152.52756835746038
lonn157p000000_lat61p000000,154.00266813523297
lonn157p000000_lat62p000000,155.27285274979587
lonn157p000000_lat63p000000,155.19722087925572
lonn157p000000_lat64p000000,154.01073878142586
lonn157p000000_lat65p000000,153.63325703273645
lonn157p000000_lat66p000000,153.31669961127335
lonn157p000000_lat67p000000,152.5138652198343
lonn157p000000_lat68p000000,154.5675011565132
lonn157p000000_lat69p000000,153.88925238140325
lonn157p000000_lat70p000000,148.57548669257343
lonn156p000000_lat18p000000,143.73651116623714
lonn156p000000_lat19p000000,145.53664150049852
lonn156p000000_lat20p000000,144.89496917710525
lonn156p000000_lat55p000000,150.75773231808662
lonn156p000000_lat57p000000,150.60238299596872
lonn156p000000_lat58p000000,152.07403570213222
lonn156p000000_lat59p000000,150.18101721676518
lonn156p000000_lat60p000000,151.27175734191235
lonn156p000000_lat61p000000,154.6806064414939
