grid_id,observed_fdis,null_mean_fdis,null_sd_fdis,n_valid_perms,ses_fdis,p_value_fdis_higher
lon116p000000_lat1p000000,0.11670345938893238,0.12473094160377285,0.002601162239188294,99,-3.086113620250571,1
lon116p000000_lat2p000000,0.11622717287661508,0.12449080025483582,0.003356538951582392,99,-2.461948899572571,0.98
lon116p000000_lat3p000000,0.11633309614556123,0.12465885508105433,0.002848422274721319,99,-2.922937027062699,1
lon116p000000_lat4p000000,0.11698964845387333,0.12501391088490366,0.0028323341189264487,99,-2.8330917519264274,1
lon116p000000_lat5p000000,0.11744149758353471,0.12504511104826352,0.0026933287894857455,99,-2.8231285739832055,1
lon116p000000_lat6p000000,0.11808930388006211,0.12471873027812806,0.003017067052382676,99,-2.1973082742163372,1
lon116p000000_lat7p000000,0.11998001140065157,0.12492077067838656,0.0030551931518939604,99,-1.6171675675143942,0.93
lon116p000000_lat8p000000,0.11440866284728389,0.12217994308845774,0.006509808881000287,99,-1.193780091433303,0.89
lon116p000000_lat22p000000,0.11864456785767916,0.12473981902485727,0.004266473441757657,99,-1.4286391912162135,0.95
lon116p000000_lat23p000000,0.121345864092977,0.12420715583328006,0.004034421190380227,99,-0.709219886888754,0.81
lon116p000000_lat24p000000,0.12345685926752241,0.12421577058582227,0.0038110180563224578,99,-0.1991361119480476,0.64
lon116p000000_lat25p000000,0.12579991682153707,0.1247290991809625,0.0034148033165082715,99,0.3135810590899587,0.39
lon116p000000_lat26p000000,0.12540257930528842,0.12456917827817122,0.003734659936712054,99,0.2231531227046365,0.43
lon116p000000_lat27p000000,0.12608423906858635,0.12477245338615608,0.0033419188044491815,99,0.39252470188199884,0.34
lon116p000000_lat28p000000,0.12384510471253382,0.12077726830487254,0.003938204424771658,99,0.7789936927510209,0.18
lon116p000000_lat29p000000,0.11918225316433415,0.12058742162416553,0.005141797791230772,99,-0.27328349283355036,0.63
lon116p000000_lat30p000000,0.12035418968236944,0.12068714713580986,0.00437448369231925,99,-0.07611354318797166,0.53
lon116p000000_lat31p000000,0.11916317614096208,0.11999061864268414,0.00497947219385975,99,-0.1661707244278581,0.54
lon116p000000_lat32p000000,0.11515262237643942,0.12031812409104838,0.005602821560824101,99,-0.9219464975874015,0.79
lon116p000000_lat33p000000,0.11286914165365058,0.11997924386100982,0.0065283124862640695,99,-1.0891179339713413,0.85
lon116p000000_lat34p000000,0.11185586771453271,0.12003010902110495,0.006117734284755427,99,-1.3361550087164378,0.9
lon116p000000_lat35p000000,0.10922681673970984,0.11982887595196991,0.006988421334755582,99,-1.5170892973399797,0.92
lon116p000000_lat36p000000,0.1085615145665537,0.11954353242147467,0.006932017784742748,99,-1.5842454817545617,0.94
